dteday_,workingday_,cnt_sum,cnt_mean,cnt_median
2011-01-09,0,1781,890.5,890.5
2011-01-09,1,7627,1525.4,1562.0
2011-01-16,0,2452,1226.0,1226.0
2011-01-16,1,6573,1314.6,1321.0
2011-01-23,0,2967,989.0,986.0
2011-01-23,1,5803,1450.75,1596.5
2011-01-30,0,2194,1097.0,1097.0
2011-01-30,1,5505,1101.0,1167.0
2011-02-06,0,2628,1314.0,1314.0
2011-02-06,1,7645,1529.0,1526.0
2011-02-13,0,3061,1530.5,1530.5
2011-02-13,1,8131,1626.2,1605.0
2011-02-20,0,3447,1723.5,1723.5
2011-02-20,1,11245,2249.0,2115.0
2011-02-27,0,5478,1826.0,1969.0
2011-02-27,1,6635,1658.75,1634.0
2011-03-06,0,2682,1341.0,1341.0
2011-03-06,1,9060,1812.0,1851.0
2011-03-13,0,4549,2274.5,2274.5
2011-03-13,1,8496,1699.2,1891.0
2011-03-20,0,5588,2794.0,2794.0
2011-03-20,1,12277,2455.4,2192.0
2011-03-27,0,4189,2094.5,2094.5
2011-03-27,1,10976,2195.2,2121.0
2011-04-03,0,5501,2750.5,2750.5
2011-04-03,1,9901,1980.2,2028.0
2011-04-10,0,5350,2675.0,2675.0
2011-04-10,1,12330,2466.0,2808.0
2011-04-17,0,7665,2555.0,3126.0
2011-04-17,1,10811,2702.75,2714.5
2011-04-24,0,8227,4113.5,4113.5
2011-04-24,1,16449,3289.8,3429.0
2011-05-01,0,8663,4331.5,4331.5
2011-05-01,1,20998,4199.6,4073.0
2011-05-08,0,9047,4523.5,4523.5
2011-05-08,1,20526,4105.2,4433.0
2011-05-15,0,7962,3981.0,3981.0
2011-05-15,1,22316,4463.2,4362.0
2011-05-22,0,10465,5232.5,5232.5
2011-05-22,1,21428,4285.6,4123.0
2011-05-29,0,9546,4773.0,4773.0
2011-05-29,1,23100,4620.0,4677.0
2011-06-05,0,14346,4782.0,4906.0
2011-06-05,1,18236,4559.0,4475.0
2011-06-12,0,9426,4713.0,4713.0
2011-06-12,1,22283,4456.6,4548.0
2011-06-19,0,9863,4931.5,4931.5
2011-06-19,1,23702,4740.4,4891.0
2011-06-26,0,10507,5253.5,5253.5
2011-06-26,1,23133,4626.6,4790.0
2011-07-03,0,9768,4884.0,4884.0
2011-07-03,1,25458,5091.6,5225.0
2011-07-10,0,16260,5420.0,5336.0
2011-07-10,1,17926,4481.5,4610.5
2011-07-17,0,11225,5612.5,5612.5
2011-07-17,1,23308,4661.6,4342.0
2011-07-24,0,6891,3445.5,3445.5
2011-07-24,1,20502,4100.4,4332.0
2011-07-31,0,8777,4388.5,4388.5
2011-07-31,1,21322,4264.4,4390.0
2011-08-07,0,8079,4039.5,4039.5
2011-08-07,1,22127,4425.4,4576.0
2011-08-14,0,7970,3985.0,3985.0
2011-08-14,1,23405,4681.0,4780.0
2011-08-21,0,9064,4532.0,4532.0
2011-08-21,1,21715,4343.0,4338.0
2011-08-28,0,5449,2724.5,2724.5
2011-08-28,1,23986,4797.2,4758.0
2011-09-04,0,9424,4712.0,4712.0
2011-09-04,1,24738,4947.6,5058.0
2011-09-11,0,13742,4580.666666666667,5046.0
2011-09-11,1,10092,2523.0,2353.0
2011-09-18,0,8785,4392.5,4392.5
2011-09-18,1,22680,4536.0,4760.0
2011-09-25,0,10433,5216.5,5216.5
2011-09-25,1,19722,3944.4,4352.0
2011-10-02,0,5347,2673.5,2673.5
2011-10-02,1,22698,4539.6,4630.0
2011-10-09,0,10920,5460.0,5460.0
2011-10-09,1,22602,4520.4,4765.0
2011-10-16,0,15375,5125.0,5117.0
2011-10-16,1,13536,3384.0,3278.5
2011-10-23,0,8689,4344.5,4344.5
2011-10-23,1,20241,4048.2,4304.0
2011-10-30,0,3958,1979.0,1979.0
2011-10-30,1,19174,3834.8,3894.0
2011-11-06,0,7575,3787.5,3787.5
2011-11-06,1,19943,3988.6,4046.0
2011-11-13,0,11152,3717.3333333333335,3717.0
2011-11-13,1,15282,3820.5,4072.0
2011-11-20,0,7183,3591.5,3591.5
